N,Normal_ms,IKJ_ms,Block_ms
100,0.471,0.392,0.704
500,47.153,33.353,64.105
1000,415.363,244.792,515.215
1500,1433.366,840.012,1734.882
2000,13378.561,2129.580,4108.947
2500,40334.591,4543.531,8019.011
3000,94945.682,8047.642,13915.091
