train_per_class,method,mean_accuracy,std_accuracy
3,2DPCA,0.8971428571428571,0.02259548509141899
3,PCA,0.8728571428571429,0.02176662734900835
4,2DPCA,0.9330555555555555,0.01824211021043776
4,PCA,0.9183333333333333,0.019469742710833484
5,2DPCA,0.9451666666666667,0.01605396789138033
5,PCA,0.9351666666666667,0.017493019954439998
