train_per_class,method,mean_accuracy,std_accuracy
1,2DPCA,0.5877777777777778,0.026810312697561265
1,PCA,0.5186111111111111,0.03849113164565978
2,2DPCA,0.7384375000000001,0.02676292846976539
2,PCA,0.6634375,0.039143665675304355
3,2DPCA,0.8132142857142858,0.024049387016575205
3,PCA,0.7653571428571428,0.024574035483710222
4,2DPCA,0.865,0.017916128329552323
4,PCA,0.8195833333333333,0.03130704669622327
5,2DPCA,0.8870000000000001,0.01843908891458579
5,PCA,0.8465,0.023810595213989164
