dataset,dimension,mean_accuracy,std_accuracy
ORL,10,0.9066666666666667,0.02843120351538665
ORL,20,0.9166666666666666,0.0317542648054295
ORL,30,0.9216666666666665,0.03617089069035114
ORL,40,0.93,0.031224989991991917
ORL,50,0.9266666666666666,0.03214550253664318
ORL,60,0.9283333333333333,0.02929732638541153
ORL,70,0.93,0.02783882181415008
ORL,80,0.9316666666666666,0.033291640592396934
ORL,90,0.9316666666666666,0.033291640592396934
ORL,100,0.9316666666666666,0.033291640592396934
ORL,110,0.9316666666666666,0.033291640592396934
ORL,120,0.9349999999999999,0.031224989991991994
ORL,130,0.9366666666666666,0.028431203515386597
ORL,140,0.9333333333333332,0.030550504633038936
ORL,150,0.9333333333333332,0.030550504633038936
ORL,160,0.9383333333333334,0.02565800719723435
Yale,10,0.7111111111111111,0.01924500897298754
Yale,20,0.7481481481481481,0.05010277503136553
Yale,30,0.7592592592592592,0.05250906251391791
Yale,40,0.774074074074074,0.04625924443258072
Yale,50,0.7814814814814813,0.04490502093697088
Yale,60,0.7814814814814813,0.04490502093697088
Yale,70,0.7814814814814813,0.04490502093697088
Yale,80,0.7814814814814813,0.04490502093697088
Yale,90,0.7814814814814813,0.04490502093697088
Yale,100,0.7814814814814813,0.04490502093697088
Yale,110,0.7814814814814813,0.04490502093697088
Yale,120,0.7814814814814813,0.04490502093697088
Yale,130,0.7814814814814813,0.04490502093697088
Yale,140,0.7814814814814813,0.04490502093697088
Yale,150,0.7814814814814813,0.04490502093697088
Yale,160,0.7814814814814813,0.04490502093697088
ExtendedYaleB,10,0.1043859649122807,0.01031401404939021
ExtendedYaleB,20,0.16988304093567252,0.009869233234934313
ExtendedYaleB,30,0.2070175438596491,0.004641668966779985
ExtendedYaleB,40,0.23026315789473684,0.004385964912280705
ExtendedYaleB,50,0.24371345029239766,0.0015403002562650284
ExtendedYaleB,60,0.256140350877193,0.00227901422048538
ExtendedYaleB,70,0.26476608187134504,0.0032329450858912226
ExtendedYaleB,80,0.2710526315789474,0.001911797782254681
ExtendedYaleB,90,0.2771929824561404,0.0030701754385964613
ExtendedYaleB,100,0.2830409356725146,0.00329190942958999
ExtendedYaleB,110,0.2864035087719298,0.004744146415084211
ExtendedYaleB,120,0.2903508771929824,0.004229671386400382
ExtendedYaleB,130,0.2928362573099415,0.005656591263787417
ExtendedYaleB,140,0.29517543859649126,0.007017543859649138
ExtendedYaleB,150,0.2964912280701754,0.007456140350877195
ExtendedYaleB,160,0.29780701754385963,0.007246803351692254
